Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Total Precipitation (high resolution) daily sum [sfc],Snowfall Amount (high resolution) daily sum [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd]
2018,1,1,0,0,45.11,2,0,49.62,41.32
2018,1,2,0,0,41.92,2.3,0,46.15,38.66
2018,1,3,0,0,47.76,5.1,0,54.41,43.23
2018,1,4,0,0,50.37,12.1,0,55.56,43.72
2018,1,5,0,0,52.09,4.8,0,58.17,47.77
2018,1,6,0,0,47.48,0.2,0,54.27,42.78
2018,1,7,0,0,43.51,0,0,48.63,39.58
2018,1,8,0,0,43.52,0,0,54.52,37.42
2018,1,9,0,0,46.08,0,0,53.58,38.61
2018,1,10,0,0,45.18,0,0,52.43,39.29
2018,1,11,0,0,43.33,1.4,0,47.71,39.56
2018,1,12,0,0,40.18,0.1,0,45.01,38.26
2018,1,13,0,0,36.33,0,0,44.19,31.91
2018,1,14,0,0,36.37,0,0,45.63,31.37
2018,1,15,0,0,41.67,0,0,50.76,33.82
2018,1,16,0,0,44.97,7.3,0,48.56,42.53
2018,1,17,0,0,38.23,4.5,1.26,41.95,36.07
2018,1,18,0,0,44.1,1.8,0,49.17,37.36
2018,1,19,0,0,40.46,5.6,0.84,45.45,36.82
2018,1,20,0,0,40.56,1.3,0,46.27,36.14
2018,1,21,0,0,39.81,3.3,0,42.33,37.18
2018,1,22,0,0,48.26,20.1,0,54.05,40.41
2018,1,23,0,0,44.66,0.2,0,50.11,41.13
2018,1,24,0,0,49.23,0,0,58.66,43.29
2018,1,25,0,0,48.79,0,0,56.77,43.97
2018,1,26,0,0,44.64,2.6,0,46.96,42.49
2018,1,27,0,0,45.04,2.6,0,49.5,40.93
2018,1,28,0,0,43.4,0,0,50.88,36.05
2018,1,29,0,0,44.33,0,0,50.99,38.68
2018,1,30,0,0,45.96,0.1,0,51.66,41.18
2018,1,31,0,0,47.08,3.2,0,55.29,39.09
2018,2,1,0,0,40.54,3.7,0.35,44.15,33.82
2018,2,2,0,0,35.31,0,0,41.88,31.26
2018,2,3,0,0,35.25,0,0,40.1,32.59
2018,2,4,0,0,35.91,0,0,42.76,31.84
2018,2,5,0,0,38.25,0,0,47.01,32.31
2018,2,6,0,0,38.29,0,0,46.51,32.43
2018,2,7,0,0,35.58,0.4,0.28,38.84,33.37
2018,2,8,0,0,35.48,0,0,41.83,29.7
2018,2,9,0,0,36.93,0,0,42.58,32.95
2018,2,10,0,0,35.87,0.3,0.21,41.18,31.14
2018,2,11,0,0,37.92,1.3,0,43.99,31.69
2018,2,12,0,0,34.9,1.5,0.84,37.42,31.51
2018,2,13,0,0,34.02,0,0,40.59,29.08
2018,2,14,0,0,34.92,0,0,43.3,28.72
2018,2,15,0,0,40.62,11,0,48.13,32.76
2018,2,16,0,0,44.98,8.2,0,48.96,39.94
2018,2,17,0,0,39.62,16.8,1.75,52.84,33.22
2018,2,18,0,0,36.66,0,0,44.76,32.29
2018,2,19,0,0,36.11,0,0,42.87,30.65
